1,AFAM VI (GAS/STEAM),305.00,305.00,305.00,305.00,305.00,390.00,305.00,305.00,305.00,305.00,305.00,305.00,305.00,305.00,305.00,305.00,305.00,305.00,305.00,305.00,305.00,305.00,305.00,305.00,"7,405.00"
2,AZURA-EDO IPP (GAS),432.00,411.00,400.00,430.00,417.00,400.00,414.00,413.00,378.00,383.00,411.00,390.00,392.00,429.00,414.00,375.00,375.00,376.00,396.00,402.00,409.00,426.00,375.00,375.00,"9,623.00"
3,DADINKOWA G.S (HYDRO),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,DELTA (GAS),450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,447.00,444.00,443.00,439.00,391.00,436.00,437.00,416.00,421.00,423.00,425.00,450.00,449.00,448.00,0.00,454.00,"10,123.00"
5,EGBIN (STEAM),556.00,556.00,556.00,556.00,557.00,556.00,0.00,556.00,557.00,559.00,557.00,557.00,0.00,0.00,381.00,392.00,395.00,393.00,395.00,395.00,392.00,0.00,396.00,397.00,"9,659.00"
6,GEREGU (GAS),264.00,261.00,258.00,267.00,265.00,256.00,263.00,261.00,244.00,246.00,259.00,250.00,251.00,251.00,256.00,232.00,227.00,242.00,253.00,256.00,259.00,266.00,230.00,233.00,"6,050.00"
7,GEREGU NIPP (GAS),249.00,250.00,250.00,251.00,250.00,250.00,250.00,250.00,225.00,224.00,225.00,225.00,160.00,200.00,200.00,200.00,200.00,200.00,251.00,250.00,249.00,250.00,251.00,250.00,"5,560.00"
8,IBOM POWER (GAS),62.30,63.30,62.20,64.30,60.80,93.20,62.80,63.50,61.50,0.00,63.70,64.20,62.30,63.30,63.30,62.80,62.40,63.20,61.30,62.00,62.30,63.50,63.10,63.10,"1,474.40"
9,JEBBA (HYDRO),264.00,264.00,264.00,264.00,264.00,264.00,266.00,264.00,265.00,266.00,265.00,267.00,160.00,180.00,267.00,263.00,264.00,265.00,265.00,265.00,267.00,267.00,265.00,265.00,"6,170.00"
10,KAINJI (HYDRO),358.00,347.00,349.00,360.00,353.00,0.00,361.00,360.00,342.00,330.00,350.00,344.00,341.00,358.00,346.00,0.00,0.00,341.00,337.00,374.00,428.00,447.00,394.00,416.00,"7,636.00"
11,ODUKPANI NIPP (GAS),322.30,0.00,0.00,0.00,0.00,0.00,309.40,319.80,295.60,296.00,313.20,307.30,284.50,300.10,305.30,293.00,263.90,291.80,317.20,317.50,316.60,316.80,321.90,323.30,"5,815.50"
12,OKPAI (GAS/STEAM),147.00,139.00,136.00,146.00,143.00,137.00,142.00,141.00,127.00,128.00,135.00,129.00,129.00,142.00,0.00,113.00,108.00,119.00,127.00,128.00,131.00,137.00,111.00,114.00,"3,009.00"
13,OLORUNSOGO (GAS),84.90,84.90,85.50,84.90,84.80,85.60,85.00,85.40,81.00,81.30,84.90,85.40,85.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.10,44.80,83.00,"1,242.40"
14,OMOKU (GAS),71.90,72.60,72.90,0.00,0.00,0.00,0.00,71.10,70.20,70.10,69.20,69.00,69.50,68.10,68.70,69.20,69.70,68.60,70.50,70.60,71.40,0.00,0.00,0.00,"1,193.30"
15,OMOTOSHO (GAS),66.50,67.00,66.60,66.50,66.80,67.10,66.90,66.50,64.90,65.20,66.90,68.10,68.00,67.80,67.90,67.50,67.70,67.70,67.70,67.60,68.00,68.00,68.10,68.40,"1,613.40"
16,PARAS ENERGY (GAS),91.90,90.80,90.90,89.90,88.60,88.20,87.80,89.70,87.50,90.80,88.60,89.70,91.90,91.90,90.80,89.70,90.80,93.00,91.90,91.70,90.80,89.70,90.00,90.80,"2,167.40"
17,SAPELE (STEAM),75.90,76.80,76.00,76.10,76.80,77.30,77.70,77.90,78.00,74.90,73.90,73.60,77.40,72.60,72.40,0.00,74.90,73.90,74.60,75.80,75.90,75.50,78.50,78.50,"1,744.90"
18,SHIRORO (HYDRO),257.53,256.55,256.43,256.79,256.68,256.40,256.77,256.73,256.35,256.41,256.41,256.39,177.48,256.89,256.89,253.96,255.39,191.07,256.06,255.77,255.88,256.14,254.74,254.97,"6,004.68"
19,TRANS-AMADI (GAS),50.20,48.10,48.10,48.10,50.00,50.10,50.30,52.60,52.50,52.30,52.00,52.10,49.20,50.10,50.40,49.80,52.60,52.40,53.00,54.20,56.70,55.50,56.50,55.80,"1,242.60"
,,"4,108.43","3,743.05","3,726.63","3,715.59","3,688.48","3,420.90","3,447.67","4,083.23","3,937.55","3,872.01","4,018.81","3,971.79","3,095.18","3,271.79","3,581.69","3,181.96","3,232.39","3,565.67","3,746.26","3,820.17","3,886.58","3,486.24","3,304.64","3,826.87",
