1,AZURA-EDO IPP (GAS),280.00,269.00,202.00,206.00,210.00,195.00,195.00,195.00,195.00,195.00,202.00,215.00,230.00,223.00,232.00,230.00,232.00,232.00,223.00,234.00,234.00,236.00,195.00,195.00,"5,255.00"
2,DELTA (GAS),353.00,331.00,329.00,334.00,336.00,340.00,0.00,327.00,333.00,335.00,332.00,331.00,328.00,326.00,342.00,334.00,348.00,357.00,347.00,355.00,364.00,363.00,361.00,0.00,"7,506.00"
3,EGBIN (STEAM),812.00,812.00,764.00,715.00,720.00,812.00,815.00,0.00,724.00,773.00,808.00,807.00,0.00,0.00,810.00,810.00,808.00,809.00,813.00,814.00,816.00,817.00,815.00,818.00,"16,692.00"
4,GEREGU (GAS),365.00,347.00,295.00,292.00,301.00,337.00,322.00,286.00,317.00,319.00,313.00,323.00,318.00,313.00,317.00,319.00,318.00,0.00,0.00,0.00,321.00,322.00,321.00,0.00,"6,366.00"
5,GEREGU NIPP (GAS),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,JEBBA (HYDRO),348.00,339.00,320.00,330.00,335.00,331.00,0.00,329.00,260.00,262.00,339.00,418.00,416.00,415.00,415.00,412.00,413.00,413.00,413.00,419.00,418.00,418.00,419.00,419.00,"8,601.00"
7,KAINJI (HYDRO),355.00,329.00,326.00,326.00,344.00,334.00,317.00,324.00,340.00,346.00,310.00,364.00,336.00,317.00,363.00,333.00,364.00,353.00,322.00,335.00,358.00,359.00,363.00,362.00,"8,180.00"
8,ODUKPANI NIPP (GAS),430.00,402.90,394.90,361.30,394.80,381.90,334.10,288.40,317.00,0.00,486.40,331.20,318.20,304.60,324.10,315.50,422.20,433.70,405.90,429.60,422.80,430.80,433.70,437.20,"8,801.20"
9,OLORUNSOGO (GAS),63.20,61.80,61.20,63.00,63.00,61.40,62.40,67.00,67.30,65.80,65.10,64.30,55.30,59.00,61.50,61.50,60.70,60.80,60.70,60.70,60.80,60.80,0.00,61.10,"1,428.40"
10,OMOKU (GAS),41.70,41.30,41.30,41.40,41.20,41.20,0.00,42.00,42.50,42.70,39.70,39.70,39.60,40.40,40.20,39.90,40.00,40.70,40.40,40.50,41.40,41.60,41.40,0.00,900.80
11,OMOTOSHO (GAS),131.00,131.30,131.50,130.40,130.90,131.90,131.20,132.00,130.70,130.00,127.80,126.20,126.50,124.80,125.60,126.60,124.80,126.30,128.40,128.90,129.10,130.20,129.60,0.00,"2,965.70"
12,PARAS ENERGY (GAS),55.60,52.40,51.60,52.40,53.20,51.60,49.20,50.80,53.20,53.20,51.60,56.40,54.80,51.60,54.80,55.60,54.80,54.80,52.40,52.40,56.40,54.00,56.40,56.40,"1,285.60"
13,RIVERS IPP (GAS),155.00,157.00,80.00,153.00,153.00,145.00,110.00,110.00,158.00,156.00,153.00,161.00,157.00,156.00,162.00,156.00,166.00,166.00,157.00,159.00,166.00,166.00,161.00,164.00,"3,627.00"
14,SAPELE (STEAM),56.00,54.00,42.00,43.00,43.00,56.00,54.00,56.00,55.00,55.00,54.00,55.00,55.00,55.00,56.00,55.00,55.00,54.00,55.00,55.00,56.00,55.00,55.00,0.00,"1,229.00"
15,SHIRORO (HYDRO),200.00,200.00,199.00,201.00,196.00,434.00,288.00,115.00,106.00,210.00,285.00,293.00,293.00,210.00,205.00,280.00,118.00,210.00,421.00,433.00,433.00,0.00,0.00,433.00,"5,763.00"
16,TRANS AFAM POWER,120.00,120.00,80.00,80.00,80.00,120.00,140.00,80.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,0.00,0.00,120.00,120.00,120.00,120.00,120.00,0.00,"2,380.00"
17,TRANS-AMADI (GAS),54.50,54.30,41.40,41.60,41.40,0.00,40.40,40.90,40.70,40.60,41.70,41.60,41.70,42.20,41.90,41.60,42.30,42.00,40.90,41.20,41.00,40.60,41.00,40.80,976.30
,,"3,820.00","3,702.00","3,358.90","3,370.10","3,442.50","3,772.00","2,858.30","2,443.10","3,259.40","3,103.30","3,728.30","3,746.40","2,889.10","2,757.60","3,670.10","3,689.70","3,566.80","3,352.30","3,599.70","3,677.30","4,037.50","3,614.00","3,512.10","2,986.50",
